position,college_level,college,major,tools,uses,concerns,q_understand,q_frameworks,q_confident,q_overall,valuable_text,prepare_text
New Consultant,Freshman,Gies College of Business,Business Undeclared,ChatGPT;Copilot,Brainstorming or ideation;Summarizing notes,Unclear when/how to use AI;Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Agree,Agree,"After compiling industry research, AI is a useful tool for summarization and for gaining better understanding of business terms that NCs may be unfamiliar with.",Potential example prompts and common usages could be outlined during training.
New Consultant,Freshman,Gies College of Business,Finance + Accountancy,ChatGPT;Claude,Understanding workstreams;Brainstorming or ideation;Rewriting text,Lack of standardized AI training;Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Neutral,Agree,"I believe the most valuable way AI was used in IBC was through understanding work streams and questions through a different lens/wording, as well as in rewording text to create more value for the client.",Providing more resources to understand how to use AI with integrity in a project as well as providing information on different AI platforms for different uses and how to use them effectively would better prepare consultants to use AI in the projects.
New Consultant,Freshman,College of ACES,Consumer Economics & Finance,Claude,Understanding workstreams;Brainstorming or ideation,Lack of standardized AI training,Agree,Agree,Agree,Agree,"My project was very technically based, so using AI to help me understand the industry and products as a whole helped with having a higher-level understanding.",Incorporate AI training during the new consultant bootcamp.
New Consultant,Sophomore,Grainger College of Engineering,Mechanical Engineering,Claude,Understanding workstreams;Conducting research;Brainstorming or ideation,I have no concerns about using AI,Agree,Neutral,Agree,Agree,Mainly for brainstorming ,Nothing really
New Consultant,Freshman,Gies College of Business,Accountancy + Information Systems,ChatGPT,Understanding workstreams,Lack of guidance from SM/PM/SC;Unclear when/how to use AI,Agree,Neutral,Neutral,Neutral,Understanding work streams and quickly being able to interpret different jargon and terms ,Setting guidelines on where AI tools can be used appropriately 
New Consultant,Sophomore,College of Liberal Arts and Sciences,Statistics,ChatGPT,Understanding workstreams;Brainstorming or ideation;Summarizing notes,Risk of sharing client/confidential data;Concerns about accuracy,Neutral,Agree,Neutral,Neutral,Was able to condense large reading into key points ,Be able to condense large amounts of data into simple charts and readings
New Consultant,Freshman,Grainger College of Engineering,Industrial Engineering,Claude,Understanding workstreams;Conducting research,Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Neutral,Agree,I think it was good at finding sources for secondary research though I think it's always important to double check the accuracy of the sources that AI gives ,I think adding a section about it during the new consultant bootcamp would help with knowing the dos and don'ts when it comes to AI 
New Consultant,Freshman,Gies College of Business,Undeclared,ChatGPT;Claude,Understanding workstreams;Conducting research;Brainstorming or ideation,Lack of standardized AI training;Lack of guidance from SM/PM/SC;Unclear when/how to use AI,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"AI was useful to help with workstreams, first gaining an understand of what is expected and then how to frame the workstream with proper research to eventually turn into slide form.",Maybe certain prompts or a lesson on AI usage so no rules are broken. 
Senior Consultant,Freshman,Gies College of Business,Business Undeclared,ChatGPT;Claude,Understanding workstreams;Conducting research;Summarizing notes,Lack of guidance from SM/PM/SC;Unclear when/how to use AI;Becoming over-reliant on AI,Neutral,Agree,Agree,Strongly Agree,"The most valuable use of AI was helping teams move faster from initial research to clearer structure. It was especially useful for brainstorming, organizing messy information, refining slide wording, and pressure testing whether our recommendations were clear and client focused.","IBC could better prepare us by giving more examples of how to use AI effectively in consulting work, such as prompt templates for research, slide synthesis, interview planning, and recommendation building. It would also be helpful to learn when AI is useful versus when human judgment and team discussion matter more."
New Consultant,Freshman,Gies College of Business,Business Undeclared,Gemini,Question Type;Understanding workstreams;Conducting research;Brainstorming or ideation,Concerns about accuracy;Becoming over-reliant on AI,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,To condense research and to do research ,Better promote the use of it 
New Consultant,Freshman,Grainger College of Engineering,Systems Engineering and Design,ChatGPT;Claude;Copilot,Understanding workstreams;Brainstorming or ideation;Summarizing notes;Rewriting text,Lack of standardized AI training;Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Neutral,Neutral,Neutral,Neutral,It helped me make my slides less text heavy because it helped me understand what wasn't required to be on the actual slide and can be stated during presentations instead. ,AI workshops and training for consultants
New Consultant,Sophomore,Grainger College of Engineering,Mechanical Engineering,ChatGPT,Summarizing notes;Rewriting text,Becoming over-reliant on AI,Neutral,Neutral,Neutral,Agree,To summarize huge chunks of texts into small bullets.,Maybe workshops beginning of the semester
Senior Consultant,Sophomore,Grainger College of Engineering,Mechanical Engineering,ChatGPT;Gemini,Summarizing notes;Rewriting text,Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Agree,Neutral,Agree,Agree,"To reframe my words in a more polished way, help find gaps in my research",by using it ethically and not being over reliant 
Experienced Consultant,Freshman,Gies College of Business,Finance + Data Science,ChatGPT,Summarizing notes,Unclear when/how to use AI;Risk of sharing client/confidential data;Concerns about accuracy,Agree,Agree,Agree,Agree,It was helpful to understand the cybersecurity jargon that I didn't always understand.,More guidance on when to use AI and how sensitive of information I can put into AI
New Consultant,Freshman,College of Liberal Arts and Sciences,Actuarial Science,ChatGPT;Claude,Understanding workstreams;Brainstorming or ideation,I have no concerns about using AI,Agree,Agree,Agree,Strongly Agree,"AI helped me really break down what was being asked of me and also helped me brainstorm some different avenues that could help our client, ",Maybe by making it clear on the ways in which we are to use AI and specific questions we should be asking AI. 
New Consultant,Freshman,College of Liberal Arts and Sciences,Chemical Engineering + Data Science,ChatGPT;Claude;Perplexity,Understanding workstreams;Conducting research;Brainstorming or ideation,Concerns about accuracy,Agree,Agree,Agree,Agree,For research and finding sources,Give consultants access to pro accounts
New Consultant,Freshman,Grainger College of Engineering,Computer Science,ChatGPT;Claude,Brainstorming or ideation;Summarizing notes,I have no concerns about using AI,Agree,Agree,Strongly Agree,Agree,I thing AI was best used when summarizing notes. For me it gave me a clear cut understanding of what needs to be done and how to fix it. ,"I mean maybe a workshop explaining the benefits of AI but other than that, there is nothing major."
New Consultant,Junior,Grainger College of Engineering,Systems Engineering and Design,ChatGPT,Brainstorming or ideation;Summarizing notes,Becoming over-reliant on AI,Strongly Agree,Neutral,Neutral,Neutral,Summarizing long research papers.,Understand where AI is appropriate and when it is not.
